role,username,password,img,name,address,hub,createdTime
customer,realCustomer1,$2y$10$cjh69M/fUPfOe1cHj7O3H.xgrtMr7vJLv.bDVk6GqPQKex7fZXSYO,img/customer_img/realCustomer1.png,"real customer 1","real address 1",,"07-09-2022 04:55:41"
customer,realCustomer2,$2y$10$1jXk.gde6wPh6lE81vgI2uN8xR15WTnkJ5y6zTwXrG9uKUczE826i,img/customer_img/realCustomer2.jpg,"real customer 2","real address 2",,"07-09-2022 04:55:59"
vendor,realVendor1,$2y$10$e2IUcPZz2UKxZIQILcMFk.Ltw6UIhZc0qm.7K4Tm8KB6W0VhHoDha,img/vendor_img/realVendor1.jpg,"real vendor 1","real vendor address 1",,"07-09-2022 04:56:47"
shipper,realShipper1,$2y$10$cx8afgT5u61i7E//ewx8pO0UXoDY0j/1JHtQqJ3TW9eBIze6ZsSAW,img/shipper_img/realShipper1.jpg,,,name2,"07-09-2022 05:04:36"
customer,realCustomer3,$2y$10$JUaJcZ/Y3HV2C3rUnq6HTuOcRx.Snha18MMZN5XPl.6PPNUmNyplC,img/customer_img/realCustomer3.webp,"real customer 3","real cus address 3",,"10-09-2022 08:31:20"
vendor,realVendor2,$2y$10$wO37Sn8PKucqNsmkiulMP.rFNCxUenIbx/6knPuTJgTBtOgmygMpK,img/vendor_img/realVendor2.png,"real vendor 2","real ven address 2",,"10-09-2022 09:22:51"
customer,realCustomer4,$2y$10$LuqcvtN6ChTyNNPKO/rTy.q.tPbeJKq7Qp0tS2Jgvm/TqC2BIPj/2,img/customer_img/realCustomer4.png,cothien,dadfdfa,,"11-09-2022 05:41:56"
vendor,khue2511,$2y$10$AlngbB.Undvcu0d.RxlY0uXb2ftTahvRP8uc53z/IrTBlrmpmIXwm,img/vendor_img/khue2511.jfif,Khuedz,"555 Kim Ma",,"11-09-2022 09:23:34"
customer,realCustomer5,$2y$10$0/qNWiWJNltsIa14CSLDfefEy9OtT9B6mtT9mdcVMfWhTpAzg2mBC,img/customer_img/realCustomer5.webp,"real cus 5","real cus address 5",,"11-09-2022 01:24:03"
shipper,realShipper2,$2y$10$xWx82rqopjigqjb1TqumnOiL267cZGU3WvqnqLTLn.KfhA0/9D4s.,img/shipper_img/realShipper2.png,,,name3,"11-09-2022 01:20:44"
